pair_id,match_score,human_overall_fit_1to5,human_overall_fit_rescaled,skills_pred,skills_human_1to5,experience_pred,experience_human_1to5,education_pred,education_human_1to5,writing_quality_pred,shortlist_decision,hard_requirement_flag_met,human_rationale,explanation
PAIR_01,50.0,1,0.0,0.0,1,,1,100.0,1,42,reject,not met,The candidate's background does not match the job description at all.,"You bring an impressive technical background with 8 years of experience and a strong skill set spanning Python, C, MATLAB, and machine learning techniques like neural networks and decision trees. However, you are missing Microsoft Office, which is required for this role. We encourage you to highlight any experience you have with Microsoft Office if you've used it, and we wish you the best with your application!"
PAIR_02,33.3,3,50.0,0.0,2,100.0,2,0.0,1,62,borderline,not met,"Ten years of sales performance and coaching work, but nothing on legal or professional-services marketing, proposals or pitches. The CV carries no education section at all against a stated BA/BS requirement, which is why the degree cannot be confirmed.","With 10 years of experience, you bring a strong background in leadership development, project management, and sales that exceeds the role's duration requirement. However, this position specifically requires expertise in customer relationship management, digital marketing, document management systems, MS Office suite, and online research, which are currently missing from your profile alongside the targeted education requirements. We encourage you to highlight transferable skills from your extensive experience if you decide to apply for future roles that align more closely with these specific technical needs!"
PAIR_03,50.0,2,25.0,0.0,3,,2,100.0,4,62,reject,met,"Right function, wrong end of the career: a chemical engineer turned IT professional with fifteen years behind him against a summer internship pitched at a student still working towards an IT degree.","With 10 years of experience and a strong background in technical support, troubleshooting, and network management, your educational background and broad IT expertise make you a great fit for this field. However, this specific role requires direct experience with Microsoft Teams, Office 365, and Windows 10, which weren't highlighted on your CV. If you have worked with these tools, be sure to add them to your resume, as your extensive technical foundation is a great asset!"
PAIR_04,0.0,2,25.0,0.0,2,,2,,3,45,reject,not met,"Aviation dispatch and vendor negotiation transfer in a general way, but there is no freight brokerage work and no book of business, both of which the JD lists under requirements.","Thank you for your interest in the role! While you bring a strong background in finance, budgeting, and process management, this position requires specific experience in logistics, freight brokerage, freight sales, and customer relationship management. Because your current profile does not yet include these key areas, we won't be moving forward at this time, but we truly appreciate the time you took to apply."
PAIR_05,66.7,1,0.0,0.0,1,100.0,1,100.0,2,75,reject,not met,"The pre-screen was misled by the word maintenance: industrial hydroblasting and building upkeep against airline maintenance control, with no FAA Airframe and Powerplant licence anywhere on the CV.","While you bring an impressive 11.5 years of experience and strong hands-on skills in areas like carpentry, plumbing, and tank cleaning, this role specifically requires an FAA airframe and powerplant license, an FCC license, and proficiency in Microsoft Office. Because these specific certifications and tools are missing from your background, we have decided to move forward with other candidates whose profiles more closely align with these technical requirements. We truly appreciate your time and wish you the best in your job search!"
PAIR_06,100.0,4,75.0,100.0,4,,4,,4,62,shortlist,,Pre-screen scored this weak on vocabulary alone. The substance is a long consultative-sales and new-business record against a commission role that sets no licensing or sector barrier at all.,"Thank you for applying with your 15 years of experience and strong background in tools like Microsoft Excel, SharePoint, and Six Sigma. However, because the job description did not specify required skills or qualifications in the provided data, we are unable to move forward at this time. We truly appreciate your time and interest in this role!"
PAIR_07,33.3,4,75.0,33.3,4,,4,,4,68,shortlist,met,"Twenty years of IT delivery with genuine municipal government work, which is the JD's stated requirement. The gap is formal PMO process and defect tracking rather than domain or seniority.","You bring an impressive 20 years of experience and strong expertise in project management that aligns well with the role. However, the position specifically requires experience in quality assurance and SDLC, which are currently missing from your profile. With your extensive technical background across many systems, highlighting any transferable experience in those areas would make you a much stronger fit."
PAIR_08,0.0,1,0.0,0.0,1,,1,,1,35,reject,not met,"Entry-level retail and hospitality against a senior international B2B technology sales role. Spanish is named in the job title and is nowhere on the CV, which drives the reject.","Thank you for applying! While your background in customer service, caregiving, and cash handling brings valuable interpersonal skills to the table, this specific role requires specialized experience in saas sales and technology sales. Strengthening the clarity and professional presentation of your CV could also help better highlight your transferable experience for future opportunities. Keep up the hard work—we appreciate your interest and encourage you to keep applying!"
PAIR_09,100.0,3,50.0,100.0,3,,3,,3,62,borderline,,"No warehouse job title as such, but four years of physically demanding aircraft maintenance and some stockroom work against a JD that says it will train the right candidate. Could go either way on the wider pool.","Thank you for applying with your 7 years of experience and strong background in Microsoft Office, PowerPoint, Microsoft Excel, and Veribalance. However, we have decided to move forward with other candidates, as your profile did not show the specific skills required for this role. We truly appreciate the time and effort you put into your application and wish you the very best in your job search."
PAIR_10,100.0,3,50.0,100.0,4,100.0,3,,4,72,borderline,met,"Every HR process the clerk role administers is there, but at manager and director level against a lead-clerical posting. Over-qualification rather than a gap, so the call depends on the rest of the pool.",Thank you for your interest! While you bring an impressive 14 years of experience—well exceeding the 3 years required—we are unfortunately unable to move forward at this time as your background does not align with the specific skills needed for this role. We genuinely appreciate the time you took to apply and wish you the very best in your job search.
