pair_id,match_score,human_overall_fit_1to5,human_overall_fit_rescaled,skills_pred,skills_human_1to5,experience_pred,experience_human_1to5,education_pred,education_human_1to5,shortlist_decision,hard_requirement_flag_met,human_rationale,judge_explanation
PAIR_17,85,3.0,60.0,85,4.0,88,3.0,90,5.0,borderline,Met,"Real IT director-level history with the right degree and certifications, but the last decade has been veterinary practice management, so the cloud and cybersecurity currency the JD leans on is unproven.","The candidate has strong alignment with the must-haves, holding an MBA and a Bachelor's in a related technical field, alongside extensive IT leadership experience (e.g., Director of Information Systems, IT Manager) and relevant certifications like ITIL and CCNA. They demonstrate measurable achievements in infrastructure management, budgeting, and disaster recovery, though modern cloud computing experience is less explicit. Overall, this is a very strong match for the Director of IT role."
PAIR_28,45,3.0,60.0,50,4.0,30,3.0,70,5.0,borderline,Not met,"Certifications and networking depth run ahead of the role, but the hands-on record is two internships and Active Directory appears only in a tools list, so the one-year AD floor is not evidenced. The shortfall is marginal rather than absolute.","The candidate meets some baseline infrastructure skills like Windows Server, Linux, and mentions Active Directory in their highlights/tools, but completely lacks the required 1-3 years of dedicated operational experience managing Active Directory components, GPOs, and replication. The work history is heavily focused on networking and AWS administration internships rather than the core middleware and AD administration requested by the job."
PAIR_25,68,5.0,100.0,75,5.0,70,5.0,60,4.0,shortlist,Met,"ERP and financial-systems integration is this candidate's core work, with the ETL, reporting and stakeholder-translation elements all directly evidenced; the accounting associate is a bonus against a finance-systems analyst role.","The candidate has strong technical skills in ERP, SQL, ETL, and reporting, alongside a solid background in IT/data management and financial reporting. However, the CV lacks specific functional experience with the targeted systems (IFS, SAP Concur, OneStream) and shows a geographic misalignment (candidate summary notes Miami, FL, while the role is hybrid in Charlotte, NC). Additionally, the candidate's career trajectory leans more toward IT Director/Manager roles rather than a dedicated Senior Business Analyst implementation role."
PAIR_16,85,4.0,80.0,90,5.0,95,4.0,60,2.0,reject,not met,"Content match is close to complete and the two-year leadership floor is cleared many times over, but the degree is in sports science and no technical certifications are listed, both stated as required education.","The candidate significantly exceeds the required years of IT and administrative/leadership experience with decades of robust systems administration and management history. Technical skills align exceptionally well with extensive infrastructure, network, and database knowledge. However, education is slightly misaligned as the candidate holds a Bachelor's in Exercise and Sports Sciences rather than an IT-related associate/technical degree, though this is heavily mitigated by their extensive professional background."
PAIR_26,38,2.0,40.0,45,2.0,30,2.0,40,3.0,reject,Not met,Small-scale IT support and office administration against a GS-14 information system security officer post; the one year of GS-13 equivalent specialised experience the announcement requires is not evidenced.,"The candidate lacks the required GS-13 level specialized federal IT experience, specifically missing high-level project management of large IT systems development lifecycles and federal security/ISSO compliance experience. While the resume shows general IT support and administrative background, it does not demonstrate the complex technical analysis and leadership scope demanded by this GS-14 IT Specialist role."
PAIR_07,68,4.0,80.0,70,4.0,75,4.0,90,4.0,shortlist,met,"Twenty years of IT delivery with genuine municipal government work, which is the JD's stated requirement. The gap is formal PMO process and defect tracking rather than domain or seniority.","The candidate has strong project management, requirements gathering, and SDLC experience within utility and municipal (city government) sectors, fulfilling key domain and functional requirements. However, the CV lacks explicit mention of local MA (Massachusetts) residency/experience, which is a stated preference, and does not detail formal defect tracking processes or PMO mentoring. Overall, the extensive technical and project-related background provides a solid match despite minor geographic and process gaps."
PAIR_14,0,1.0,20.0,0,1.0,0,1.0,10,2.0,reject,not met,"A graduating intern against a nine-year senior systems administration role. The active Top Secret clearance, US citizenship and Security+ certification are all stated as required and none is evidenced.","The candidate completely lacks the mandatory security clearance (Top Secret/SCI), required certifications (CompTIA Security+), and meets none of the senior-level technical requirements such as 5+ years of Windows Server, Linux, Oracle databases, and network storage administration. The resume reflects an entry-level/intern background with outdated academic experience, making this a complete mismatch for a Senior IT System Administrator position."
PAIR_03,62,2.0,40.0,70,3.0,55,2.0,80,4.0,reject,met,"Right function, wrong end of the career: a chemical engineer turned IT professional with fifteen years behind him against a summer internship pitched at a student still working towards an IT degree.","The candidate has a solid educational background including an MS in Computer Science and IT, alongside relevant technical support and database experience. However, the candidate's professional background is heavily rooted in chemical engineering and senior IT/engineering roles spanning over a decade, which may make them overqualified or misaligned for a junior/intern-level IT Operations role that pays an entry-level intern salary."
PAIR_30,45,4.0,80.0,50,5.0,55,3.0,10,1.0,reject,Not met,"Strong HR process and compliance background; the gap is seniority rather than substance. The full JD, however, requires a bachelor's in HR management and three to five years at manager level, and the CV shows a high school diploma at specialist level.","The candidate has solid foundational HR experience in onboarding, benefits, and recruiting, which aligns with some functional requirements of the role. However, there are significant gaps: the job requires a Bachelor's degree in HR Management (the candidate lists a high school diploma), 3-5 years of experience specifically as an HR Manager (the candidate's experience is strictly at the Specialist/Clerk level), construction industry experience, and Viewpoint Vista ERP experience. Additionally, the role requires strategic leadership and full-scope management that exceeds the scope of the candidate's reported support-level roles."
PAIR_13,82,5.0,100.0,85,5.0,85,4.0,90,5.0,shortlist,met,"The closest match in the pool: over a decade of hands-on generalist HR covering onboarding, performance, compensation and HRIS, comfortably clear of the four-year and degree floors.","The candidate strongly matches the must-haves, holding a Bachelor's degree (plus an MBA) and over 10 years of HR professional experience well above the 4-year requirement. Their resume demonstrates deep experience across key HR functions requested in the JD, such as onboarding, performance management, benefits administration, HRIS usage (Oracle, SAP), and handling employee relations. While the CV lacks explicit mention of consulting/matrixed firm experience (a nice-to-have), the depth of generalist HR background and measurable achievements makes this a very strong overall match."
PAIR_10,92,3.0,60.0,95,4.0,90,3.0,90,4.0,borderline,met,"Every HR process the clerk role administers is there, but at manager and director level against a lead-clerical posting. Over-qualification rather than a gap, so the call depends on the rest of the pool.","The candidate strongly exceeds the minimum qualifications, bringing over two decades of progressive HR experience ranging from HR Representative to HR Manager and Director, which easily fulfills the requirement for 3+ years of clerical/HR process experience. They possess extensive, demonstrable expertise in recruitment, onboarding, benefits administration, payroll, and employee relations in leadership capacities. The only slight misalignment is that the role is a senior clerical/lead position, whereas the candidate's recent history is at the Manager/Director level, but their core skills are an exceptionally strong match."
PAIR_22,45,3.0,60.0,40,3.0,50,3.0,70,4.0,reject,Not met,"Fifteen years of HR, but weighted to payroll and benefits administration rather than the strategic business-partner work. The required HR professional designation is not evidenced, which drives the reject.","The candidate has a solid background in HR and payroll administration, along with an undergraduate degree in Human Resources which satisfies the education requirement. However, the CV reflects administrative support roles (HR Assistant/Payroll Coordinator) rather than the strategic, mid-level generalist and business partner (HRBP) experience required. Additionally, the candidate lacks the mandatory professional HR designation (e.g., SHRM, HRCI) and strategic competencies like full-cycle recruitment oversight, organizational development, and change management demanded by the job description."
PAIR_21,90,4.0,80.0,92,5.0,88,4.0,95,4.0,shortlist,N/A,"Direct generalist coverage of the whole employee life cycle this coordinator role administers, with an HR master's on top. The step down in title is the only wrinkle and the JD sets no hard requirement.","The candidate is a strong match for the HR Operations Coordinator role, possessing extensive HR Generalist experience, familiarity with HRIS systems (Paychex/Paychex Flex), benefits administration, onboarding, and compliance. They also hold an MBA in HR Management and a PHR certification, directly supporting the required skills and qualifications. The only minor gap is a lack of explicit mention of the Paycom HRIS system specifically used by the employer, though general HRIS expertise is clearly demonstrated."
PAIR_29,68,2.0,40.0,75,3.0,70,3.0,50,2.0,reject,Not met,"Sound HR administration and onboarding, but pitched several levels below a manager who owns talent strategy and employee relations, and the required HR or business degree is a fine arts degree instead.","The candidate has strong, relevant HR administration, onboarding, and e-Verify experience that aligns well with the operational duties of the job description. However, the CV lacks evidence of higher-level HR generalist functions like direct employee relations investigations, formal performance management, or compensation strategy. Additionally, while they hold a Bachelor's degree, it is a Bachelor of Fine Arts rather than in Human Resources, Business Administration, or a related field as strictly required."
PAIR_23,82,4.0,80.0,85,5.0,90,4.0,70,4.0,borderline,Not met,"Recruitment content is a direct match well past the one-year floor. The JD's requirement to live in or around Ottumwa cannot be checked against a CV whose locations are anonymised, so the decision is held at borderline.","The candidate significantly exceeds the minimum experience requirements with 15+ years in HR and robust full-cycle recruiting and background check expertise that maps directly to the job description's duties. Their skills heavily overlap with the required Microsoft applications, E-Recruitment, and HR policies/procedures, though geographic proximity is unstated on the resume. Education meets the minimum requirement of a high school graduate by holding a Bachelor of Arts, though it is in English Literature rather than the preferred Human Resources."
